index,Bin_Width,Bin_Length
001,60,60
002,60,60
003,60,60
004,60,60
005,60,60
006,60,60
007,60,60
008,60,60
009,60,60
010,60,60
011,60,60
012,60,60
013,60,60
014,60,60
015,60,60
016,60,60
017,60,60
018,60,60
019,60,60
020,60,60
021,60,60
022,60,60
023,60,60
024,60,60
025,60,60
026,60,60
027,60,60
028,60,60
029,60,60
030,60,60
031,60,60
032,60,60
033,60,60
034,60,60
035,60,60
036,60,60
037,60,60
038,60,60
039,60,60
040,60,60
041,60,60
042,60,60
043,60,60
044,60,60
045,60,60
046,60,60
047,60,60
048,60,60
049,60,60
050,60,60
